violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
METER EXPIRED CC,2017-03-16T19:28:00Z,36,PPA,39.963468,-75.168645,19130
OVER TIME LIMIT,2017-02-06T16:41:00Z,26,PPA,39.9691463404222,-75.1314610579995,19125
BUS ONLY ZONE,2017-03-26T08:49:00Z,51,PPA,39.9696600690069,-75.1451476842607,19123
EXPIRED INSPECTION,2017-03-26T08:51:00Z,41,PPA,39.9696600690069,-75.1451476842607,19123
SIDEWALK,2017-03-02T22:13:00Z,51,POLICE,39.9734063004051,-75.1797910404029,19130
METER EXPIRED CC,2017-01-15T11:40:00Z,36,PPA,39.9557941742546,-75.1942312890045,19104
SCHOOL ZONE,2017-02-07T07:44:00Z,36,PPA,39.922267,-75.182732,19145
METER EXPIRED CC,2017-03-01T11:06:00Z,36,PPA,39.962912,-75.16549,19130
EXPIRED INSPECTION,2017-01-19T18:05:00Z,41,PPA,39.929728,-75.17244,19145
EXPIRED INSPECTION,2017-02-18T10:14:00Z,41,POLICE,39.9297102106438,-75.1721649214385,19145
METER EXPIRED,2017-01-13T15:16:00Z,26,PPA,40.025455,-75.044023,19135
SIDEWALK,2017-01-17T01:18:00Z,51,POLICE,39.9286446902882,-75.1574870728368,NA
EXPIRED INSPECTION,2017-02-13T16:32:00Z,41,PPA,39.963313,-75.168213,19130
STOPPING PROHIBITED,2017-03-29T17:17:00Z,51,PPA,39.928902,-75.164903,19148
METER EXPIRED CC,2017-02-03T16:16:00Z,36,PPA,39.947093,-75.153622,19106
METER EXPIRED CC,2017-02-17T16:09:00Z,36,PPA,39.947073,-75.153537,19106
OVER TIME LIMIT,2017-01-28T10:38:00Z,26,PPA,39.9644639664109,-75.1717550450811,19130
OVER TIME LIMIT,2017-02-24T11:37:00Z,26,PPA,39.948897,-75.204512,NA
METER EXPIRED,2017-01-10T10:48:00Z,26,PPA,39.958675,-75.226955,19139
METER EXPIRED CC,2017-02-01T20:11:00Z,36,PPA,39.94191,-75.151362,19147
METER EXPIRED CC,2017-01-13T20:29:00Z,36,PPA,39.955657,-75.154145,19107
SIDEWALK,2017-01-25T09:13:00Z,51,POLICE,40.0282013923009,-75.0346448575975,19135
METER EXPIRED CC,2017-01-04T14:17:00Z,36,PPA,39.953348,-75.197363,19104
PARKING PROHBITED,2017-02-24T12:38:00Z,41,PPA,39.970325,-75.134733,19125
METER EXPIRED,2017-03-28T12:08:00Z,26,PPA,40.001157,-75.152913,19132
PASSENGR LOADNG ZONE,2017-02-02T10:11:00Z,31,PPA,39.95095,-75.16008,19107
METER EXPIRED,2017-03-27T11:57:00Z,26,PPA,40.036293,-75.042042,19135
PASSENGR LOADNG ZONE,2017-02-20T12:38:00Z,31,PPA,39.950168,-75.155388,19107
OVER TIME LIMIT,2017-03-10T13:56:00Z,26,PPA,39.97246,-75.22613,19131
OVER TIME LIMIT,2017-03-15T13:37:00Z,26,PPA,39.972395,-75.226092,19131
METER EXPIRED CC,2017-03-01T15:58:00Z,36,PPA,39.944177,-75.17183,19146
PARKING PROHBITED CC,2017-03-22T14:59:00Z,51,PPA,39.956017,-75.193122,19104
BUS ONLY ZONE   CC,2017-01-04T17:35:00Z,76,PPA,39.9539027469634,-75.167416137459,19103
HP RESERVED SPACE,2017-01-11T16:48:00Z,301,PPA,39.952853,-75.168397,19103
STREET CLEANING,2017-01-05T07:19:00Z,31,PPA,39.9237747488352,-75.1698851727754,19145
METER EXPIRED,2017-03-13T11:16:00Z,26,PPA,39.92395,-75.169902,19145
METER EXPIRED,2017-02-14T12:04:00Z,26,PPA,40.045988,-75.071008,19149
METER EXPIRED CC,2017-01-30T11:49:00Z,36,PPA,39.9550261343346,-75.1973789096577,19104
EXPIRED INSPECTION,2017-01-16T13:04:00Z,41,PPA,40.0126470923035,-75.1883572002684,19129
EXPIRED INSPECTION,2017-03-01T20:48:00Z,41,PPA,39.941737,-75.149502,19147
